Symbol,Date,Open,High,Low,Close,AvgPrice,Volume,Trades,DelivQty,DelivPct
BAJFINANCE,2010-09-29,780.0,805.0,770.0,774.6,0.0,26000,0,0,0.0
BAJFINANCE,2010-09-30,775.0,783.45,766.25,773.55,0.0,17350,0,0,0.0
BAJFINANCE,2010-10-01,763.0,797.3,760.25,774.95,0.0,35941,0,0,0.0
BAJFINANCE,2010-10-04,788.0,795.0,775.0,783.4,0.0,31160,0,0,0.0
BAJFINANCE,2010-10-05,775.1,788.0,772.05,779.0,0.0,32141,0,0,0.0
BAJFINANCE,2010-10-06,812.0,812.0,773.0,799.45,0.0,69177,0,0,0.0
BAJFINANCE,2010-10-07,791.0,807.0,778.2,783.85,0.0,38093,0,0,0.0
BAJFINANCE,2010-10-08,780.0,799.0,776.55,779.25,0.0,20060,0,0,0.0
BAJFINANCE,2010-10-11,782.5,798.0,782.5,793.65,0.0,16798,0,0,0.0
BAJFINANCE,2010-10-12,782.1,803.95,782.1,798.15,0.0,22402,0,0,0.0
BAJFINANCE,2010-10-13,791.0,805.0,791.0,797.6,0.0,36541,0,0,0.0
BAJFINANCE,2010-10-14,798.0,807.0,798.0,805.4,0.0,47108,0,0,0.0
BAJFINANCE,2010-10-15,795.0,806.0,782.05,784.9,0.0,14809,0,0,0.0
BAJFINANCE,2010-10-18,799.0,799.0,745.0,759.95,0.0,64137,0,0,0.0
BAJFINANCE,2010-10-19,775.0,775.0,747.0,751.2,0.0,52109,0,0,0.0
BAJFINANCE,2010-10-20,760.0,775.0,757.0,765.8,0.0,26636,0,0,0.0
BAJFINANCE,2010-10-21,770.0,774.0,768.0,771.6,0.0,24106,0,0,0.0
BAJFINANCE,2010-10-22,777.0,777.0,770.0,772.9,0.0,8814,0,0,0.0
BAJFINANCE,2010-10-25,772.0,797.25,770.0,791.2,0.0,18209,0,0,0.0
BAJFINANCE,2010-10-26,788.0,797.9,775.2,783.95,0.0,8898,0,0,0.0
BAJFINANCE,2010-10-27,784.2,789.85,770.0,777.35,0.0,7409,0,0,0.0
BAJFINANCE,2010-10-28,771.0,780.0,770.1,770.6,0.0,5769,0,0,0.0
BAJFINANCE,2010-10-29,768.45,790.0,739.8,774.45,0.0,36854,0,0,0.0
BAJFINANCE,2010-11-01,790.0,801.0,781.5,798.6,0.0,22483,0,0,0.0
BAJFINANCE,2010-11-02,805.0,838.0,799.0,806.4,0.0,158531,0,0,0.0
BAJFINANCE,2010-11-03,810.0,818.65,795.0,799.25,0.0,21687,0,0,0.0
BAJFINANCE,2010-11-04,785.5,811.8,785.5,810.3,0.0,16533,0,0,0.0
BAJFINANCE,2010-11-05,812.0,820.0,805.0,811.9,0.0,7313,0,0,0.0
BAJFINANCE,2010-11-08,811.95,817.0,801.55,809.15,0.0,13274,0,0,0.0
BAJFINANCE,2010-11-09,803.0,828.0,803.0,815.8,0.0,34403,0,0,0.0
