Symbol,Date,Open,High,Low,Close,AvgPrice,Volume,Trades,DelivQty,DelivPct
TITAN,2010-06-10,2225.0,2243.9,2213.05,2231.55,0.0,37934,0,0,0.0
TITAN,2010-06-11,2241.0,2252.9,2217.3,2222.35,0.0,22864,0,0,0.0
TITAN,2010-06-14,2257.9,2257.9,2224.8,2239.1,0.0,16301,0,0,0.0
TITAN,2010-06-15,2239.0,2255.0,2230.0,2239.25,0.0,11078,0,0,0.0
TITAN,2010-06-16,2227.0,2268.0,2214.15,2221.55,0.0,53700,0,0,0.0
TITAN,2010-06-17,2225.0,2243.9,2188.2,2200.55,0.0,72145,0,0,0.0
TITAN,2010-06-18,2220.0,2222.7,2185.05,2197.4,0.0,25646,0,0,0.0
TITAN,2010-06-21,2205.0,2228.0,2181.2,2197.55,0.0,67632,0,0,0.0
TITAN,2010-06-22,2208.5,2220.0,2165.0,2206.15,0.0,66197,0,0,0.0
TITAN,2010-06-23,2210.0,2228.0,2192.05,2208.8,0.0,22799,0,0,0.0
TITAN,2010-06-24,2195.5,2260.0,2195.5,2243.9,0.0,70725,0,0,0.0
TITAN,2010-06-25,2257.95,2278.0,2244.0,2264.0,0.0,32672,0,0,0.0
TITAN,2010-06-28,2270.0,2350.0,2255.0,2335.2,0.0,63036,0,0,0.0
TITAN,2010-06-29,2340.0,2384.0,2325.0,2352.2,0.0,97676,0,0,0.0
TITAN,2010-06-30,2341.0,2385.0,2323.1,2370.25,0.0,37192,0,0,0.0
TITAN,2010-07-01,2360.0,2367.75,2341.0,2349.7,0.0,47019,0,0,0.0
TITAN,2010-07-02,2350.0,2365.0,2316.5,2322.7,0.0,20921,0,0,0.0
TITAN,2010-07-05,2344.9,2344.9,2301.55,2330.45,0.0,15499,0,0,0.0
TITAN,2010-07-06,2331.0,2403.5,2313.0,2385.0,0.0,46262,0,0,0.0
TITAN,2010-07-07,2390.0,2425.5,2367.0,2406.95,0.0,191220,0,0,0.0
TITAN,2010-07-08,2423.8,2515.0,2416.0,2490.75,0.0,127279,0,0,0.0
TITAN,2010-07-09,2495.0,2513.65,2452.0,2505.25,0.0,78594,0,0,0.0
TITAN,2010-07-12,2510.0,2520.2,2485.0,2508.5,0.0,41209,0,0,0.0
TITAN,2010-07-13,2508.5,2683.4,2491.05,2627.55,0.0,140385,0,0,0.0
TITAN,2010-07-14,2650.0,2739.0,2610.0,2638.35,0.0,200179,0,0,0.0
TITAN,2010-07-15,2590.0,2754.95,2590.0,2691.65,0.0,196325,0,0,0.0
TITAN,2010-07-16,2686.5,2717.7,2658.8,2672.1,0.0,89154,0,0,0.0
TITAN,2010-07-19,2670.0,2689.0,2640.0,2648.6,0.0,78379,0,0,0.0
TITAN,2010-07-20,2650.0,2680.0,2650.0,2664.5,0.0,85227,0,0,0.0
TITAN,2010-07-21,2688.0,2688.0,2666.15,2671.55,0.0,38798,0,0,0.0
TITAN,2010-07-22,2671.0,2750.0,2670.5,2741.2,0.0,185082,0,0,0.0
