Symbol,Date,Open,High,Low,Close,AvgPrice,Volume,Trades,DelivQty,DelivPct
SBIN,2010-06-10,2266.0,2338.0,2266.0,2326.85,0.0,2449684,0,0,0.0
SBIN,2010-06-11,2630.1,2630.1,2326.1,2339.9,0.0,1506327,0,0,0.0
SBIN,2010-06-14,2345.0,2359.95,2326.0,2345.0,0.0,1018766,0,0,0.0
SBIN,2010-06-15,2349.9,2374.35,2320.0,2364.2,0.0,1530534,0,0,0.0
SBIN,2010-06-16,2417.0,2417.0,2345.4,2361.7,0.0,1414155,0,0,0.0
SBIN,2010-06-17,2359.0,2362.0,2323.55,2350.85,0.0,1033108,0,0,0.0
SBIN,2010-06-18,2349.85,2379.95,2340.0,2372.6,0.0,1559762,0,0,0.0
SBIN,2010-06-21,2375.0,2402.75,2375.0,2387.8,0.0,887925,0,0,0.0
SBIN,2010-06-22,2375.0,2394.0,2350.1,2354.55,0.0,851451,0,0,0.0
SBIN,2010-06-23,2350.0,2358.0,2328.5,2349.55,0.0,1084942,0,0,0.0
SBIN,2010-06-24,2350.0,2366.0,2338.0,2357.55,0.0,1212340,0,0,0.0
SBIN,2010-06-25,2350.15,2355.0,2285.0,2300.8,0.0,1302272,0,0,0.0
SBIN,2010-06-28,2288.0,2314.5,2275.0,2303.65,0.0,1071817,0,0,0.0
SBIN,2010-06-29,2305.0,2328.9,2281.15,2291.15,0.0,1420842,0,0,0.0
SBIN,2010-06-30,2279.8,2312.0,2275.0,2302.0,0.0,1061040,0,0,0.0
SBIN,2010-07-01,2291.1,2299.0,2254.0,2262.25,0.0,1421990,0,0,0.0
SBIN,2010-07-02,2265.0,2279.9,2257.35,2265.05,0.0,890734,0,0,0.0
SBIN,2010-07-05,2265.1,2294.0,2253.55,2272.5,0.0,619255,0,0,0.0
SBIN,2010-07-06,2273.0,2319.0,2268.35,2312.8,0.0,1014391,0,0,0.0
SBIN,2010-07-07,2309.0,2319.0,2291.0,2304.1,0.0,891221,0,0,0.0
SBIN,2010-07-08,2315.0,2366.85,2315.0,2356.8,0.0,1756229,0,0,0.0
SBIN,2010-07-09,2365.0,2378.55,2360.1,2368.9,0.0,980329,0,0,0.0
SBIN,2010-07-12,2375.05,2412.0,2370.05,2400.7,0.0,1494817,0,0,0.0
SBIN,2010-07-13,2401.0,2437.1,2390.1,2429.1,0.0,1761547,0,0,0.0
SBIN,2010-07-14,2437.0,2479.0,2437.0,2464.5,0.0,1815964,0,0,0.0
SBIN,2010-07-15,2470.5,2473.0,2434.0,2439.85,0.0,816239,0,0,0.0
SBIN,2010-07-16,2445.0,2464.75,2428.1,2449.0,0.0,952807,0,0,0.0
SBIN,2010-07-19,2438.95,2463.0,2426.0,2455.25,0.0,763037,0,0,0.0
SBIN,2010-07-20,2455.25,2464.9,2440.25,2449.0,0.0,507690,0,0,0.0
SBIN,2010-07-21,2455.55,2463.1,2434.0,2436.75,0.0,505534,0,0,0.0
SBIN,2010-07-22,2427.15,2487.4,2417.75,2476.25,0.0,1158588,0,0,0.0
SBIN,2010-07-23,2481.0,2503.75,2476.0,2496.8,0.0,1484346,0,0,0.0
SBIN,2010-07-26,2498.0,2502.35,2402.1,2410.15,0.0,1578073,0,0,0.0
SBIN,2010-07-27,2419.95,2446.9,2400.6,2435.15,0.0,2311237,0,0,0.0
SBIN,2010-07-28,2434.65,2478.0,2423.15,2471.3,0.0,1657637,0,0,0.0
SBIN,2010-07-29,2462.0,2482.8,2436.1,2473.05,0.0,1580023,0,0,0.0
SBIN,2010-07-30,2460.0,2522.0,2450.45,2502.9,0.0,2694487,0,0,0.0
SBIN,2010-08-02,2519.95,2600.0,2512.0,2586.35,0.0,2058577,0,0,0.0
