Symbol,Date,Open,High,Low,Close,AvgPrice,Volume,Trades,DelivQty,DelivPct
INFY,2011-06-29,2868.0,2907.0,2868.0,2881.75,0.0,600094,0,0,0.0
INFY,2011-06-30,2886.05,2919.0,2881.5,2910.45,0.0,1417730,0,0,0.0
INFY,2011-07-01,2935.0,2969.95,2924.1,2934.15,0.0,800308,0,0,0.0
INFY,2011-07-04,2966.65,2977.0,2935.0,2938.95,0.0,514324,0,0,0.0
INFY,2011-07-05,2957.0,2969.9,2926.0,2956.45,0.0,802966,0,0,0.0
INFY,2011-07-06,2947.0,2972.45,2937.1,2953.7,0.0,430028,0,0,0.0
INFY,2011-07-07,2955.2,3000.0,2943.0,2995.7,0.0,718934,0,0,0.0
INFY,2011-07-08,3000.0,3023.9,2967.25,2976.55,0.0,708724,0,0,0.0
INFY,2011-07-11,2953.9,2976.1,2888.55,2921.15,0.0,1150815,0,0,0.0
INFY,2011-07-12,2850.0,2850.0,2746.8,2791.55,0.0,3706582,0,0,0.0
INFY,2011-07-13,2766.0,2807.35,2761.05,2777.3,0.0,1667271,0,0,0.0
INFY,2011-07-14,2760.25,2764.0,2731.0,2740.35,0.0,1361403,0,0,0.0
INFY,2011-07-15,2744.0,2762.95,2720.0,2731.35,0.0,799078,0,0,0.0
INFY,2011-07-18,2735.0,2743.25,2707.35,2713.4,0.0,1176082,0,0,0.0
INFY,2011-07-19,2721.0,2762.0,2716.65,2750.5,0.0,1040553,0,0,0.0
INFY,2011-07-20,2772.8,2772.8,2745.0,2752.45,0.0,777839,0,0,0.0
INFY,2011-07-21,2745.2,2784.5,2736.8,2768.1,0.0,737136,0,0,0.0
INFY,2011-07-22,2784.3,2844.0,2770.0,2828.25,0.0,968703,0,0,0.0
INFY,2011-07-25,2818.0,2825.05,2791.1,2807.75,0.0,925532,0,0,0.0
INFY,2011-07-26,2809.0,2824.0,2787.5,2801.8,0.0,856092,0,0,0.0
INFY,2011-07-27,2801.0,2835.9,2791.2,2796.65,0.0,1063305,0,0,0.0
