Date,Open,High,Low,Close,Volume
2023-08-28,64908.078125,65213.44921875,64776.921875,64996.6015625,20800.0
2023-08-29,65201.3515625,65229.03125,64956.671875,65075.8203125,48500.0
2023-08-30,65311.578125,65458.69921875,65052.73828125,65087.25,17700.0
2023-08-31,65178.328125,65277.0390625,64723.62890625,64831.41015625,48600.0
2023-09-01,64855.51171875,65473.26953125,64818.37109375,65387.16015625,21600.0
2023-09-04,65525.91015625,65683.90625,65285.55859375,65628.140625,13700.0
2023-09-05,65671.6015625,65831.703125,65601.46875,65780.2578125,6600.0
2023-09-06,65744.1875,65971.1328125,65488.03125,65880.5234375,6100.0
2023-09-07,65854.25,66296.8984375,65672.34375,66265.5625,6200.0
2023-09-08,66381.4296875,66766.921875,66299.296875,66598.90625,11500.0
2023-09-11,66807.7265625,67172.1328125,66735.84375,67127.078125,9300.0
2023-09-12,67506.8828125,67539.1015625,66948.1796875,67221.1328125,8700.0
2023-09-13,67188.640625,67565.40625,67053.359375,67466.9921875,6200.0
2023-09-14,67627.03125,67771.046875,67336.4609375,67519.0,8100.0
2023-09-15,67659.90625,67927.2265625,67614.421875,67838.6328125,6800.0
2023-09-18,67665.578125,67803.1484375,67532.828125,67596.84375,10300.0
2023-09-20,67080.1796875,67294.15625,66728.140625,66800.84375,13400.0
2023-09-21,66608.671875,66608.671875,66128.7109375,66230.2421875,8400.0
2023-09-22,66215.0390625,66445.46875,65952.828125,66009.1484375,8300.0
2023-09-25,66082.9921875,66225.6328125,65764.03125,66023.6875,6800.0
2023-09-26,66071.6328125,66078.2578125,65865.6328125,65945.46875,6500.0
2023-09-27,65925.640625,66172.2734375,65549.9609375,66118.6875,5400.0
2023-09-28,66406.0078125,66406.0078125,65423.390625,65508.3203125,7800.0
2023-09-29,65743.9296875,66151.6484375,65570.3828125,65828.40625,8400.0
2023-10-03,65813.421875,65813.5,65344.58984375,65512.1015625,8600.0
2023-10-04,65330.6484375,65332.51953125,64878.76953125,65226.0390625,8600.0
2023-10-05,65598.2578125,65753.203125,65443.33984375,65631.5703125,8000.0
2023-10-06,65867.5390625,66095.8125,65762.328125,65995.6328125,10200.0
2023-10-09,65560.0703125,65789.9765625,65434.609375,65512.390625,7300.0
2023-10-10,65662.2734375,66180.171875,65662.2734375,66079.359375,5100.0
2023-10-11,66376.421875,66592.15625,66299.7890625,66473.046875,16800.0
2023-10-12,66564.5703125,66577.6015625,66339.421875,66408.390625,7100.0
2023-10-13,66034.2109375,66478.8984375,65895.40625,66282.7421875,13400.0
2023-10-16,66238.1484375,66342.75,66039.3828125,66166.9296875,6600.0
2023-10-17,66558.1484375,66559.8203125,66309.1796875,66428.09375,7900.0
2023-10-18,66473.7421875,66475.2734375,65842.1015625,65877.0234375,7100.0
2023-10-19,65484.609375,65869.6484375,65343.5,65629.2421875,11000.0
2023-10-20,65437.0703125,65555.140625,65308.609375,65397.62109375,14300.0
