Symbol,Date,Open,High,Low,Close,AvgPrice,Volume,Trades,DelivQty,DelivPct
LT,2010-06-10,1647.2,1675.0,1647.0,1672.4,0.0,1360977,0,0,0.0
LT,2010-06-11,1682.0,1685.0,1671.0,1677.05,0.0,1008628,0,0,0.0
LT,2010-06-14,1682.0,1709.8,1678.9,1703.9,0.0,1334314,0,0,0.0
LT,2010-06-15,1723.65,1728.5,1700.0,1724.45,0.0,1378523,0,0,0.0
LT,2010-06-16,1740.0,1740.0,1710.05,1721.2,0.0,881704,0,0,0.0
LT,2010-06-17,1720.0,1782.0,1711.0,1777.0,0.0,2772966,0,0,0.0
LT,2010-06-18,1780.0,1817.5,1780.0,1798.5,0.0,2484248,0,0,0.0
LT,2010-06-21,1805.55,1843.0,1801.25,1836.35,0.0,1338236,0,0,0.0
LT,2010-06-22,1832.0,1840.0,1806.35,1825.15,0.0,1451144,0,0,0.0
LT,2010-06-23,1824.0,1825.15,1757.05,1765.05,0.0,2502581,0,0,0.0
LT,2010-06-24,1778.0,1797.75,1765.55,1791.65,0.0,1668364,0,0,0.0
LT,2010-06-25,1790.0,1794.95,1752.35,1759.1,0.0,768699,0,0,0.0
LT,2010-06-28,1759.0,1796.55,1757.6,1792.9,0.0,745042,0,0,0.0
LT,2010-06-29,1789.65,1806.7,1780.0,1796.8,0.0,1400001,0,0,0.0
LT,2010-06-30,1780.0,1817.0,1776.2,1808.95,0.0,1203886,0,0,0.0
LT,2010-07-01,1799.6,1805.95,1786.0,1794.15,0.0,616258,0,0,0.0
LT,2010-07-02,1798.2,1812.0,1780.0,1786.0,0.0,460360,0,0,0.0
LT,2010-07-05,1786.0,1806.4,1780.15,1790.85,0.0,424606,0,0,0.0
LT,2010-07-06,1793.0,1805.25,1787.0,1799.7,0.0,507902,0,0,0.0
LT,2010-07-07,1803.0,1804.7,1780.0,1786.85,0.0,556926,0,0,0.0
LT,2010-07-08,1800.0,1829.0,1799.9,1819.9,0.0,1039221,0,0,0.0
LT,2010-07-09,1830.0,1838.1,1818.0,1822.15,0.0,624214,0,0,0.0
