Symbol,Date,Open,High,Low,Close,AvgPrice,Volume,Trades,DelivQty,DelivPct
TCS,2010-06-10,730.0,753.0,730.0,750.5,0.0,898018,0,0,0.0
TCS,2010-06-11,761.8,763.3,751.0,759.1,0.0,1618512,0,0,0.0
TCS,2010-06-14,763.35,787.1,758.0,781.0,0.0,1775246,0,0,0.0
TCS,2010-06-15,756.65,777.7,756.65,766.1,0.0,1321488,0,0,0.0
TCS,2010-06-16,777.1,779.95,767.3,774.8,0.0,1164408,0,0,0.0
TCS,2010-06-17,777.0,784.8,763.7,775.3,0.0,764460,0,0,0.0
TCS,2010-06-18,775.3,788.9,772.25,783.2,0.0,1112836,0,0,0.0
TCS,2010-06-21,792.9,794.0,784.6,787.7,0.0,953714,0,0,0.0
TCS,2010-06-22,785.0,786.5,773.3,778.65,0.0,734162,0,0,0.0
TCS,2010-06-23,770.0,788.95,769.85,786.3,0.0,1479762,0,0,0.0
TCS,2010-06-24,786.3,788.5,767.7,773.45,0.0,1888755,0,0,0.0
TCS,2010-06-25,775.8,775.8,756.1,758.5,0.0,1018661,0,0,0.0
TCS,2010-06-28,758.45,767.15,757.6,764.75,0.0,576562,0,0,0.0
TCS,2010-06-29,765.0,765.0,749.0,753.8,0.0,1307331,0,0,0.0
TCS,2010-06-30,755.0,759.9,741.25,751.0,0.0,1658258,0,0,0.0
TCS,2010-07-01,750.0,750.0,725.75,732.0,0.0,1703872,0,0,0.0
TCS,2010-07-02,734.8,746.0,730.85,743.8,0.0,1471775,0,0,0.0
TCS,2010-07-05,748.8,748.9,737.1,739.0,0.0,1082798,0,0,0.0
TCS,2010-07-06,736.5,761.9,735.85,759.15,0.0,1380452,0,0,0.0
TCS,2010-07-07,761.4,767.4,748.95,764.6,0.0,1076467,0,0,0.0
TCS,2010-07-08,772.0,779.0,769.65,776.8,0.0,1093782,0,0,0.0
TCS,2010-07-09,780.0,784.0,770.75,774.45,0.0,918333,0,0,0.0
TCS,2010-07-12,779.8,794.0,779.8,791.7,0.0,1362888,0,0,0.0
TCS,2010-07-13,792.0,792.0,769.55,774.65,0.0,2772943,0,0,0.0
TCS,2010-07-14,778.0,784.7,770.25,774.65,0.0,1416921,0,0,0.0
TCS,2010-07-15,771.0,784.9,765.25,782.1,0.0,1897768,0,0,0.0
TCS,2010-07-16,795.0,838.5,795.0,833.65,0.0,9567726,0,0,0.0
TCS,2010-07-19,831.45,834.7,823.25,826.7,0.0,1513962,0,0,0.0
TCS,2010-07-20,826.7,834.55,825.0,827.25,0.0,1171031,0,0,0.0
TCS,2010-07-21,832.0,844.8,829.6,843.0,0.0,1471860,0,0,0.0
TCS,2010-07-22,843.0,846.0,832.5,843.7,0.0,681441,0,0,0.0
TCS,2010-07-23,850.0,850.0,835.1,839.3,0.0,947236,0,0,0.0
TCS,2010-07-26,842.4,851.6,840.4,849.25,0.0,1383245,0,0,0.0
TCS,2010-07-27,855.0,859.8,846.2,849.15,0.0,1053301,0,0,0.0
TCS,2010-07-28,851.0,857.95,847.0,854.45,0.0,2179614,0,0,0.0
TCS,2010-07-29,855.0,855.0,849.0,850.0,0.0,2665952,0,0,0.0
TCS,2010-07-30,849.0,850.0,835.0,839.8,0.0,641713,0,0,0.0
TCS,2010-08-02,843.0,848.45,837.0,838.3,0.0,1413881,0,0,0.0
TCS,2010-08-03,841.0,844.5,828.55,832.05,0.0,640776,0,0,0.0
TCS,2010-08-04,836.0,872.0,835.85,868.8,0.0,2791967,0,0,0.0
TCS,2010-08-05,872.0,882.4,865.65,877.85,0.0,1456475,0,0,0.0
TCS,2010-08-06,880.0,883.5,860.65,864.7,0.0,1218867,0,0,0.0
TCS,2010-08-09,861.15,883.7,846.1,879.85,0.0,2129993,0,0,0.0
TCS,2010-08-10,885.0,885.0,861.4,864.5,0.0,772597,0,0,0.0
TCS,2010-08-11,862.0,873.0,854.8,858.15,0.0,2010124,0,0,0.0
TCS,2010-08-12,856.9,856.9,846.2,853.45,0.0,1139046,0,0,0.0
TCS,2010-08-13,857.0,862.9,838.0,854.4,0.0,1294953,0,0,0.0
TCS,2010-08-16,857.0,862.55,848.8,854.1,0.0,659549,0,0,0.0
TCS,2010-08-17,850.1,861.0,844.0,850.2,0.0,866598,0,0,0.0
TCS,2010-08-18,853.0,875.8,850.0,871.1,0.0,1444458,0,0,0.0
TCS,2010-08-19,874.0,880.9,867.3,872.05,0.0,1074267,0,0,0.0
TCS,2010-08-20,869.0,879.9,863.0,868.95,0.0,873198,0,0,0.0
TCS,2010-08-23,860.0,875.45,857.05,870.4,0.0,524915,0,0,0.0
TCS,2010-08-24,870.0,881.9,865.0,870.7,0.0,1325237,0,0,0.0
TCS,2010-08-25,872.0,881.5,866.3,871.2,0.0,1189984,0,0,0.0
TCS,2010-08-26,874.0,879.0,860.25,876.5,0.0,2102214,0,0,0.0
TCS,2010-08-27,872.1,873.0,851.0,856.05,0.0,638257,0,0,0.0
TCS,2010-08-30,862.8,862.8,840.1,845.65,0.0,779285,0,0,0.0
TCS,2010-08-31,840.0,847.7,830.2,843.75,0.0,1223937,0,0,0.0
TCS,2010-09-01,842.0,861.0,840.0,858.4,0.0,1372742,0,0,0.0
TCS,2010-09-02,867.5,867.5,841.5,844.1,0.0,1379400,0,0,0.0
TCS,2010-09-03,850.0,851.5,835.1,837.3,0.0,1388985,0,0,0.0
TCS,2010-09-06,838.0,857.5,838.0,855.35,0.0,1143989,0,0,0.0
TCS,2010-09-07,858.0,874.9,856.0,871.35,0.0,1242118,0,0,0.0
TCS,2010-09-08,864.0,882.9,858.9,879.05,0.0,2094739,0,0,0.0
TCS,2010-09-09,882.0,882.5,871.35,874.7,0.0,1469079,0,0,0.0
TCS,2010-09-13,871.35,889.0,870.7,879.75,0.0,1174705,0,0,0.0
TCS,2010-09-14,883.0,899.0,880.3,895.35,0.0,1535519,0,0,0.0
TCS,2010-09-15,900.0,919.4,899.0,914.8,0.0,2780197,0,0,0.0
TCS,2010-09-16,908.0,913.45,864.5,895.4,0.0,1167132,0,0,0.0
TCS,2010-09-17,900.1,918.75,900.1,913.8,0.0,1503989,0,0,0.0
