Symbol,Date,Open,High,Low,Close,AvgPrice,Volume,Trades,DelivQty,DelivPct
ICICIBANK,2010-06-10,822.8,834.2,814.0,829.05,0.0,3597611,0,0,0.0
ICICIBANK,2010-06-11,845.0,850.0,831.8,846.0,0.0,3795477,0,0,0.0
ICICIBANK,2010-06-14,855.0,859.0,843.4,853.65,0.0,2758649,0,0,0.0
ICICIBANK,2010-06-15,853.65,864.85,839.3,860.1,0.0,2635443,0,0,0.0
ICICIBANK,2010-06-16,869.0,879.9,860.05,876.75,0.0,3761689,0,0,0.0
ICICIBANK,2010-06-17,878.0,891.9,846.0,883.85,0.0,11674290,0,0,0.0
ICICIBANK,2010-06-18,876.1,885.0,864.05,869.3,0.0,3185066,0,0,0.0
ICICIBANK,2010-06-21,878.9,910.0,875.6,899.8,0.0,5197811,0,0,0.0
ICICIBANK,2010-06-22,897.0,905.8,888.4,891.6,0.0,3296032,0,0,0.0
ICICIBANK,2010-06-23,886.1,904.7,881.55,900.4,0.0,3219018,0,0,0.0
ICICIBANK,2010-06-24,898.2,902.0,878.15,885.7,0.0,3487698,0,0,0.0
ICICIBANK,2010-06-25,880.0,881.95,851.55,856.55,0.0,3670962,0,0,0.0
ICICIBANK,2010-06-28,852.0,871.95,852.0,870.15,0.0,2536694,0,0,0.0
ICICIBANK,2010-06-29,870.15,870.15,841.65,848.3,0.0,3303161,0,0,0.0
ICICIBANK,2010-06-30,836.1,864.35,834.25,861.7,0.0,4010160,0,0,0.0
ICICIBANK,2010-07-01,854.45,857.0,836.55,841.45,0.0,3342467,0,0,0.0
ICICIBANK,2010-07-02,842.5,847.75,833.2,840.05,0.0,3261874,0,0,0.0
ICICIBANK,2010-07-05,838.0,845.7,834.0,840.6,0.0,1459645,0,0,0.0
ICICIBANK,2010-07-06,839.5,861.7,838.45,858.8,0.0,2319110,0,0,0.0
ICICIBANK,2010-07-07,857.0,858.1,844.25,846.2,0.0,2084301,0,0,0.0
ICICIBANK,2010-07-08,858.0,865.8,855.05,862.3,0.0,1672806,0,0,0.0
ICICIBANK,2010-07-09,866.5,879.0,866.0,875.9,0.0,3217777,0,0,0.0
ICICIBANK,2010-07-12,884.9,895.0,876.05,893.45,0.0,4040383,0,0,0.0
ICICIBANK,2010-07-13,860.25,901.0,860.25,899.45,0.0,2526351,0,0,0.0
ICICIBANK,2010-07-14,903.0,914.45,886.15,891.25,0.0,2597757,0,0,0.0
ICICIBANK,2010-07-15,889.05,900.85,878.3,881.85,0.0,2812591,0,0,0.0
ICICIBANK,2010-07-16,886.0,905.0,886.0,902.4,0.0,3003602,0,0,0.0
ICICIBANK,2010-07-19,895.1,904.35,887.0,900.05,0.0,3125514,0,0,0.0
ICICIBANK,2010-07-20,900.05,906.1,883.0,886.85,0.0,1455851,0,0,0.0
ICICIBANK,2010-07-21,894.0,904.9,890.65,902.6,0.0,2933359,0,0,0.0
ICICIBANK,2010-07-22,899.0,910.0,886.2,908.7,0.0,2820295,0,0,0.0
